,zone_id,year,month,day,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
10,A,2004,1,11,9367.41,9501.48,9601.48,9857.04,10159.26,10471.85,11002.96,12028.15,12255.56,11245.19,10116.3,9268.15,8706.67,7888.15,7497.04,7443.7,8278.52,8976.3,9365.19,8983.7,8748.89,8059.26,7163.7,6510.37
11,A,2004,1,12,6162.22,6042.22,6164.44,6422.22,7079.26,7929.63,9137.04,9220.0,8318.52,7257.04,6361.48,5754.07,5200.74,4715.56,4626.67,4839.26,5405.19,6463.7,7111.85,7188.15,6811.85,6254.81,5513.33,4889.63
12,A,2004,1,13,4595.56,4652.59,4843.7,5210.37,5734.07,6614.07,7600.74,7665.19,6631.11,5853.33,5342.22,4819.26,4508.89,4236.3,4069.63,4286.67,4930.37,6137.04,7300.0,7492.59,7317.04,6744.44,6013.33,5435.56
13,A,2004,1,14,5212.59,5255.56,5365.19,5594.07,6153.33,7186.67,8310.37,8483.7,7663.7,7020.74,6800.74,6446.67,6275.56,5870.37,5661.48,5890.37,6646.67,7633.33,8245.93,8278.52,7947.41,7217.04,6361.48,5711.11
14,A,2004,1,15,5326.67,5360.0,5332.59,5520.74,5914.07,6641.48,7649.63,7817.04,7294.81,6942.96,6348.89,5922.22,5666.67,5390.37,5343.7,5634.07,6667.41,7724.44,8430.37,8601.48,8621.48,8062.96,7375.56,6854.07
15,A,2004,1,16,6703.7,6740.74,6897.04,7223.7,7740.0,8788.15,9790.37,9735.56,9326.67,8343.7,7677.04,7134.07,6626.67,6269.63,6013.33,5993.33,6691.11,7789.63,8411.85,8505.19,8215.56,8053.33,7580.74,7062.96
16,A,2004,1,17,6803.7,6736.3,6786.67,6959.26,7223.7,7534.07,8178.52,8872.59,9028.89,8704.44,8137.78,7541.48,7103.7,6780.74,6482.96,6589.63,7048.89,7560.0,7724.44,7400.0,7040.74,6632.59,6248.89,5689.63
17,A,2004,1,18,5368.89,5293.33,5236.3,5274.81,5343.7,5491.85,5734.07,6420.0,7399.26,7940.0,7620.74,7432.59,7362.96,7174.81,6973.33,7023.7,7253.33,7665.19,7942.96,7838.52,7474.81,6988.15,6485.19,5980.0
18,A,2004,1,19,5645.19,5620.0,5820.74,6042.22,6417.04,6917.04,7661.48,8237.04,8288.89,7945.19,7580.0,7125.93,6682.96,6311.85,6106.67,6128.15,6918.52,8347.41,9191.11,9383.7,8876.3,8361.48,7723.7,7045.19
19,A,2004,1,20,6819.26,6921.48,6993.33,7149.63,7548.15,8381.48,9404.44,8860.74,8683.7,7814.07,7146.67,6701.48,6317.78,6085.19,5897.78,6131.85,6856.3,8217.04,9122.22,9414.81,9011.11,8533.33,7844.44,7306.67
20,A,2004,1,21,7168.15,7177.04,7446.67,7748.89,8408.15,9225.93,10308.89,9817.78,9361.48,8229.63,7328.89,7042.96,6880.0,6578.52,6570.37,6809.63,7310.37,8256.3,9159.26,9306.67,8954.07,8464.44,7813.33,7305.93
21,A,2004,1,22,7207.41,7282.22,7168.15,7385.93,7845.93,8570.37,9485.19,9274.81,8117.78,7053.33,6693.33,6419.26,6032.59,5623.7,5421.48,5232.59,5829.63,6985.93,7674.07,7915.56,7710.37,7254.07,6677.04,6249.63
22,A,2004,1,23,6093.33,6269.63,6494.81,6851.85,7501.48,8457.04,9603.7,9760.0,8854.81,7941.48,7320.74,6823.7,6505.19,6131.11,5903.7,6117.78,6665.19,7775.56,8389.63,8362.96,8194.81,7705.93,7127.41,6743.7
23,A,2004,1,24,6485.19,6391.85,6403.7,6452.59,6591.85,6894.07,7351.11,8211.11,8873.33,8787.41,8255.56,7450.37,7580.74,7374.81,7326.67,7367.41,7451.85,8168.15,8900.74,8907.41,8797.04,8562.22,8140.0,7695.56
24,A,2004,1,25,7400.0,7408.15,7520.0,7740.74,8044.44,8385.93,8984.44,9825.93,10668.15,10696.3,10150.37,9759.26,9374.07,9188.89,9031.11,8939.26,9343.7,9872.59,9834.81,9798.52,10398.52,9386.67,8607.41,8107.41
25,A,2004,1,26,7688.15,7673.33,7679.26,7728.15,7901.48,8365.93,8663.7,8977.78,9738.52,9925.93,9963.7,9591.11,9355.56,9061.48,8925.93,9055.56,9263.7,9820.74,9678.52,9374.07,10035.56,8742.96,7821.48,7234.81
26,A,2004,1,27,6939.26,6945.19,6917.04,7065.19,7278.52,7789.63,8058.52,8491.11,8716.3,8702.22,8670.37,8365.19,8085.19,7926.67,7865.93,7876.3,8343.7,8823.7,9104.44,8753.33,8191.11,7900.74,7186.67,6603.7
27,A,2004,1,28,6312.59,6394.81,6454.81,6661.48,7042.22,7577.78,8296.3,8720.0,8554.07,7862.22,7448.89,6874.81,6642.96,6176.3,5867.41,6040.0,6515.56,7955.56,8746.67,8751.11,8268.15,7872.59,7160.0,6661.48
28,A,2004,1,29,6462.22,6581.48,6787.41,6975.56,7586.67,8282.22,8962.22,9515.56,9057.04,7836.3,6863.7,6166.67,5746.67,5450.37,5313.33,5321.48,5730.37,6910.37,7738.52,7734.81,7422.22,7028.15,6337.04,5664.44
29,A,2004,1,30,5324.44,5295.56,5450.37,5746.67,6155.56,6791.11,7365.19,8115.56,8125.93,7660.0,6977.78,6511.11,6415.56,5926.67,5736.3,5914.81,6541.48,7605.19,8514.07,8619.26,8481.48,8343.7,8014.81,7580.74
30,A,2004,1,31,7418.52,7515.56,7657.78,7843.7,8263.7,8642.96,9250.37,10262.22,10146.67,9318.52,8565.93,7827.41,7277.78,6900.0,6484.44,6381.48,6685.19,7499.26,8223.7,8377.78,8428.89,8266.67,7951.85,7671.85
31,A,2004,2,1,7574.07,7617.04,7937.04,8136.3,8501.48,8874.81,9411.85,10390.37,10593.33,9732.59,8556.3,7774.81,7385.93,6801.48,6482.96,6407.41,6742.22,7568.15,8111.85,8073.33,8110.37,7898.52,7514.81,7137.78
32,A,2004,2,2,6983.7,7018.52,7377.04,7711.85,8411.85,9242.22,10357.78,10216.3,9730.37,8164.44,6917.04,6237.04,5714.07,5447.41,5328.15,5478.52,6023.7,7107.41,8128.15,8209.63,7827.41,7197.04,6526.67,5977.78
33,A,2004,2,3,5734.07,5605.93,5620.74,5794.81,6165.93,6724.44,7212.59,7446.67,7602.22,7848.15,7752.59,7557.78,7134.07,6606.67,6040.74,5966.67,6123.7,7207.41,8025.19,8054.81,7578.52,7070.37,6243.7,5549.63
34,A,2004,2,4,5224.44,5165.19,5141.48,5362.22,5843.7,6477.04,7145.93,7511.85,7065.19,5985.19,5291.11,5000.0,4701.48,4414.81,4335.56,4360.0,4925.93,6237.04,7391.85,7564.44,7418.52,7040.0,6575.56,6098.52
35,A,2004,2,5,5889.63,6034.07,6261.48,6669.63,7275.56,8077.04,9214.07,9229.63,8051.11,7434.81,7067.41,6485.19,6134.07,6093.33,6007.41,6228.89,6762.96,7515.56,8180.74,8268.15,7783.7,7120.0,6600.74,5985.19
36,A,2004,2,6,5691.11,5601.48,5665.19,5691.85,6064.44,6543.7,6921.48,7369.63,7448.15,7191.11,7262.22,7359.26,7368.89,7562.22,7277.78,7111.85,6930.37,7651.11,7969.63,7705.93,7220.74,6721.48,6553.33,6026.67
37,A,2004,2,7,5518.52,5398.52,5350.37,5350.37,5485.93,5742.22,6251.85,6912.59,7172.59,7031.85,6998.52,6379.26,5945.19,5656.3,5543.7,5891.85,6260.0,7083.7,7971.85,7907.41,7577.78,7210.37,6740.0,6283.7
38,A,2004,2,8,6021.48,5939.26,6014.07,6182.22,6460.0,6720.0,7117.78,8018.52,8474.81,8375.56,7525.93,7143.7,6734.81,6310.37,6021.48,5823.7,6158.52,7060.74,8074.81,8461.48,8184.44,7757.04,7140.0,6628.15
39,A,2004,2,9,6356.3,6366.67,6535.56,6835.56,7348.89,8162.96,9245.93,9069.63,8087.41,7355.56,6803.7,6470.37,6084.44,5597.78,5439.26,5752.59,6208.15,6953.33,7682.22,7748.89,7391.11,6734.07,6040.74,5301.48
40,A,2004,2,10,5027.41,5011.85,5173.33,5441.48,6071.11,6828.15,8014.07,7977.78,7288.15,6568.15,5994.07,5291.85,4750.37,4327.41,4173.33,4419.26,4948.15,6086.67,7366.67,7660.0,7333.33,6874.81,6066.67,5417.04
41,A,2004,2,11,5009.63,5029.63,5107.41,5441.48,6048.89,6955.56,8205.19,8247.41,7338.52,6697.04,6097.04,5488.15,5088.89,4812.59,4567.41,4671.11,5351.85,6517.04,7931.11,8010.37,7891.11,7432.59,6679.26,5997.78
42,A,2004,2,12,5650.37,5631.85,5620.0,5874.07,6422.22,7282.22,8405.93,8328.89,7523.7,7184.44,6721.48,5857.04,5398.52,5425.93,5434.07,5468.15,6060.0,6829.63,7965.19,8199.26,7976.3,7525.93,6770.37,6168.15
43,A,2004,2,13,5826.67,5799.26,5987.41,6322.22,6883.7,7808.15,8974.07,9037.04,7606.67,6521.48,5742.22,5254.81,4817.04,4538.52,4317.78,4405.19,4747.41,5625.93,6683.7,6980.0,6843.7,6659.26,6374.81,5756.3
44,A,2004,2,14,5413.33,5271.85,5293.33,5310.37,5485.93,5717.78,6411.85,7348.89,7975.56,7974.07,7499.26,6982.22,6801.48,6405.93,6171.85,6157.78,6435.56,6834.07,7219.26,7168.15,7044.44,6979.26,6628.15,6324.44
45,A,2004,2,15,6045.93,5870.37,5957.04,6084.44,6241.48,6367.41,6842.22,7674.07,8271.85,8054.81,7523.7,7138.52,7012.59,6803.7,6624.44,6574.07,6730.37,7852.59,8903.7,9217.04,8971.85,8566.67,7750.37,7075.56
46,A,2004,2,16,6860.0,6963.7,7219.26,7632.59,8174.81,9201.48,10588.89,10741.48,9643.7,8949.63,8184.44,7597.04,7156.3,6757.04,6364.44,6235.56,6705.19,7823.7,9148.15,9544.44,9282.96,8777.78,8037.04,7387.41
47,A,2004,2,17,7345.19,7338.52,7407.41,7773.33,8265.93,8961.48,10163.7,9915.56,8856.3,8085.93,7576.3,7020.74,6565.19,6318.52,6113.33,6405.19,7026.67,7943.7,8708.15,8737.04,8383.7,7997.78,7193.33,6585.93
48,A,2004,2,18,6331.85,6443.7,6644.44,6864.44,7519.26,8387.41,9627.41,9389.63,8093.33,7105.93,6534.81,6068.89,5659.26,5326.67,5023.7,4960.74,5526.67,6594.81,7874.81,8188.89,7970.37,7486.67,6610.37,5865.19
49,A,2004,2,19,5497.04,5471.85,5605.93,5889.63,6422.22,7113.33,8306.67,8103.7,6989.63,6081.48,5442.22,4926.67,4534.81,4124.44,3940.74,3930.37,4325.93,4995.56,6381.48,6825.19,6491.11,6044.44,5439.26,4849.63
50,A,2004,2,20,4622.22,4658.52,4788.89,5008.15,5545.19,6485.19,7874.07,7906.67,6731.85,5908.89,5092.59,4707.41,4478.52,4100.0,3962.22,3928.15,4307.41,5044.44,5820.74,5932.59,5653.33,5205.93,4640.0,4088.15
51,A,2004,2,21,3686.67,3542.22,3497.78,3483.7,3646.67,3879.26,4502.22,5474.07,6017.78,6046.67,5806.67,5597.78,5368.89,5188.15,5183.7,5307.41,5504.44,5991.85,6748.89,6811.85,6702.22,6371.11,5973.33,5437.04
52,A,2004,2,22,5125.19,4970.37,4997.78,5060.74,5297.78,5491.85,6105.19,7085.19,7517.04,7537.78,7012.59,6454.81,6241.48,5928.89,5616.3,5625.93,6026.67,6817.04,7702.22,7945.93,7697.78,7133.33,6403.7,5861.48
53,A,2004,2,23,5557.78,5632.59,5847.41,6227.41,6825.19,7833.33,9088.15,8858.52,7574.07,6531.11,5917.04,5408.89,5029.63,4764.44,4476.3,4553.33,5182.22,6200.0,7334.81,7624.44,7269.63,6471.85,5679.26,5183.7
54,A,2004,2,24,4733.33,4722.96,4776.3,4972.59,5582.22,6472.59,7745.19,7606.67,6707.41,6342.22,6232.59,5959.26,5871.85,5678.52,5657.04,5743.7,6332.59,7068.89,7955.56,8148.15,7780.74,7097.78,6205.19,5589.63
55,A,2004,2,25,5321.48,5332.59,5490.37,5772.59,6387.41,7144.44,8585.19,8343.7,7034.07,6529.63,5930.37,5494.81,5214.81,4948.15,4735.56,4717.04,5178.52,6356.3,7766.67,8115.56,8081.48,7642.96,6809.63,6251.85
56,A,2004,2,26,5971.11,5968.89,6149.63,6342.96,6951.85,7822.22,8934.07,8832.59,7908.89,7381.48,6948.89,6545.19,6303.7,5971.85,5977.04,6122.96,6788.89,7685.19,8527.41,8731.11,8242.22,7617.04,6666.67,5869.63
57,A,2004,2,27,5506.67,5428.15,5486.67,5667.41,6134.07,6921.48,8165.19,7975.56,6941.48,6324.44,5722.22,5287.41,5123.7,4966.67,4702.96,4731.11,5113.33,5703.7,6845.19,7114.07,7103.7,6847.41,6298.52,5868.15
58,A,2004,2,28,5456.3,5443.7,5440.0,5645.19,5777.04,6217.04,6815.56,7702.22,7653.33,7003.7,6334.81,5662.96,5117.04,4699.26,4528.15,4354.81,4506.67,4974.81,5997.78,6322.22,6283.7,6000.0,5651.11,5297.04
59,A,2004,2,29,5140.0,5214.81,5378.52,5677.04,5920.74,6378.52,7068.89,8103.7,8168.89,7413.33,6391.85,5557.04,5019.26,4585.93,4426.67,4337.78,4728.15,5323.7,6298.52,6612.59,6365.19,5603.7,4802.96,4364.44
60,A,2004,3,1,4116.3,4167.41,4364.44,4720.0,5372.59,6277.78,7525.19,6911.11,6190.37,5800.74,4776.3,4330.37,4041.48,3729.63,3619.26,3553.33,3830.37,4516.3,5780.74,6291.85,5963.7,5205.93,4147.41,3443.7
61,A,2004,3,2,3004.44,2861.48,2848.15,2914.07,3402.96,4110.37,5324.44,5211.85,4460.0,4220.74,3859.26,3710.37,3641.48,3496.3,3448.89,3467.41,3762.22,4380.74,5508.15,6070.37,5736.3,5064.44,4106.67,3364.44
62,A,2004,3,3,2990.37,2897.78,2994.81,3195.56,3701.48,4567.41,6025.93,5883.7,4882.22,4165.93,3901.48,3698.52,3503.7,3350.37,3333.33,3376.3,3792.59,4443.7,5548.89,5959.26,5526.67,4778.52,3900.0,3158.52
63,A,2004,3,4,2787.41,2688.15,2665.93,2808.15,3201.48,3984.44,5062.22,5123.7,4640.74,4345.93,4168.15,3894.07,3625.93,3374.81,3443.7,3400.0,3713.33,4377.04,5517.04,6076.3,5835.56,5056.3,4190.37,3408.15
64,A,2004,3,5,3069.63,2968.15,2972.59,3060.0,3502.22,4254.81,5484.44,5456.3,4917.78,4748.15,4465.19,4154.81,3838.52,3623.7,3480.0,3485.93,3699.26,4022.96,4901.48,5220.74,4894.07,4489.63,3860.74,3240.74
65,A,2004,3,6,2760.0,2552.59,2455.56,2436.3,2521.48,2654.07,3112.59,3908.15,4778.52,5072.59,5101.48,3802.22,4240.74,3844.44,3717.04,3762.22,4203.7,4522.22,5214.81,5456.3,5129.63,4607.41,4149.63,3674.81
66,A,2004,3,7,3305.19,3130.37,3125.19,3306.67,3536.3,3922.22,4681.48,5827.41,6268.15,5955.56,5325.93,4883.7,4737.78,4486.67,4212.59,4133.33,4317.78,5091.11,6243.7,6661.48,6177.78,5360.74,4626.67,4048.15
67,A,2004,3,8,3737.04,3715.56,3848.89,4068.15,4678.52,5661.48,6994.07,6780.74,5939.26,5421.48,5251.11,5129.63,5176.3,5076.3,5060.74,5159.26,5757.78,6518.52,7056.3,7324.44,8014.81,7243.7,6088.89,5422.96
68,A,2004,3,9,5242.96,5310.37,5391.11,5646.67,6226.67,7111.11,8192.59,7339.26,7149.63,5903.7,5178.52,4986.67,4688.89,4518.52,4766.67,4804.44,5291.85,6154.07,7254.07,7857.78,7566.67,6845.93,5757.78,4948.15
69,A,2004,3,10,4747.41,4762.22,4916.3,5281.48,5829.63,6539.26,7864.44,6946.67,6539.26,5771.85,5261.48,5066.67,5237.04,5131.85,5052.59,5241.48,5688.89,6268.15,7061.48,7531.85,7646.67,8097.04,6617.04,5865.19
70,A,2004,3,11,5652.59,5760.0,5903.7,6163.7,6831.11,7675.56,8866.67,7791.11,7152.59,5903.7,5065.93,4672.59,4291.85,3964.44,3754.07,3810.37,4238.52,4711.85,5969.63,6716.3,6408.15,5782.96,5045.93,4277.04
71,A,2004,3,12,3931.85,3831.11,3988.89,4102.96,4678.52,5538.52,6807.41,6472.59,5562.96,5170.37,4842.96,4541.48,4277.04,4094.81,3936.3,3948.15,4260.74,4750.37,5782.96,6374.81,6323.7,6149.63,5725.19,5330.37
72,A,2004,3,13,5020.0,5049.63,5090.37,5277.04,5628.15,6094.81,6886.67,7602.96,7458.52,7140.0,6485.19,5883.7,5477.78,5005.19,4686.67,4725.93,4808.15,5368.15,6174.07,6697.04,6628.89,6523.7,6148.15,5645.19
73,A,2004,3,14,5425.93,5379.26,5442.22,5568.15,5731.85,5987.41,6521.48,7290.37,7885.19,7931.11,7391.85,6624.44,5985.93,5624.44,5275.56,5173.33,5259.26,5820.74,6540.0,6790.37,6419.26,5609.63,4859.26,3997.04
74,A,2004,3,15,3536.3,3465.19,3491.85,3666.67,4314.07,5057.78,6185.93,6037.78,5261.48,4642.22,4275.56,4031.11,3794.81,3645.93,3528.89,3490.37,3879.26,4370.37,5443.7,6219.26,6046.67,5291.11,4408.89,3742.96
75,A,2004,3,16,3465.19,3371.85,3485.19,3731.85,4329.63,5165.19,6417.04,6519.26,6231.11,6226.67,6245.19,6251.11,6235.56,6050.37,6147.41,6160.0,7030.37,7637.04,7880.74,7911.11,8611.11,7440.74,6365.19,5549.63
76,A,2004,3,17,5206.67,5137.78,5168.15,5331.85,5837.78,6705.93,7799.26,7202.96,7531.85,6748.15,6456.3,6328.89,6326.67,6279.26,6259.26,6438.52,6880.74,7722.22,8322.96,8374.07,8110.37,7330.37,6531.11,5780.0
77,A,2004,3,18,5500.74,5437.78,5403.7,5660.74,6125.93,6819.26,7890.37,7357.04,7414.07,6843.7,6326.67,5979.26,5802.96,5492.59,5291.85,5096.3,5818.52,6650.37,7462.22,7588.89,7294.81,6642.96,5659.26,4978.52
78,A,2004,3,19,4579.26,4494.81,4473.33,4688.89,5210.37,5985.19,7241.48,6977.78,6017.78,5546.67,5360.74,5115.56,4690.37,4394.81,4139.26,4065.93,4406.67,4707.41,5628.89,6216.3,6348.89,6216.3,5888.15,5532.59
79,A,2004,3,20,5329.63,5348.89,5563.7,5725.93,5980.0,6409.63,7135.56,7493.33,7325.19,6773.33,6060.0,5614.81,5162.22,4707.41,4478.52,4354.07,4448.15,4741.48,5368.89,5734.07,5428.15,4989.63,4371.85,3731.85
80,A,2004,3,21,3232.59,3006.67,2936.3,2970.37,3171.11,3382.22,4045.93,5060.74,5880.0,6202.96,5933.33,5652.59,5561.48,5461.48,5305.93,5303.7,5585.93,6322.22,7207.41,7751.11,7642.96,6974.07,6176.3,5561.48
81,A,2004,3,22,5283.7,5352.59,5483.7,5811.11,6356.3,7352.59,8408.15,7377.78,6600.0,7393.33,6245.19,5882.22,5650.37,5310.37,5126.67,5154.07,5608.15,6409.63,7698.52,7957.78,7931.85,8308.15,7326.67,6477.04
82,A,2004,3,23,6240.74,6417.04,6687.41,7103.7,7917.04,8765.19,9365.19,8448.15,8077.04,6511.11,5821.48,5309.63,4923.7,4528.89,4382.22,4385.19,4640.74,5329.63,6446.67,7310.37,7186.67,6662.96,5993.33,5442.22
83,A,2004,3,24,5214.81,5259.26,5477.78,5723.7,6391.11,7405.93,8544.44,7837.78,6242.96,5295.56,4652.59,4365.93,4028.15,3794.07,3742.96,3699.26,4142.96,4881.48,5727.41,6395.56,6065.19,5403.7,4548.89,3798.52
84,A,2004,3,25,3462.96,3388.15,3391.85,3516.3,4015.56,4865.19,6050.37,5774.07,4869.63,4360.74,3992.59,3698.52,3528.89,3372.59,3354.07,3370.37,3664.44,4013.33,4837.04,5727.41,5569.63,4953.33,4031.11,3228.15
85,A,2004,3,26,2782.22,2631.11,2608.89,2690.37,3122.96,3867.41,5162.22,4918.52,4352.59,3909.63,3682.96,3554.81,3558.52,3512.59,3516.3,3562.96,3753.33,3984.44,4645.93,5142.96,4954.81,4460.0,3910.37,3246.67
86,A,2004,3,27,2840.0,2570.37,2463.7,2438.52,2497.78,2738.52,3334.07,4254.81,4857.04,5086.67,4995.56,4748.15,4506.67,4234.81,4077.78,4084.44,4327.41,4603.7,4916.3,5324.44,4942.96,4497.78,3964.44,3424.44
87,A,2004,3,28,2903.7,2712.59,2601.48,2594.81,2664.44,2974.81,3487.41,4490.37,5407.41,5657.04,5277.78,4837.04,4536.3,4287.41,3976.3,4020.0,4128.89,4534.81,5373.33,6191.85,5962.96,5078.52,4058.52,3315.56
88,A,2004,3,29,3007.41,3004.44,3074.07,3311.85,3831.11,4857.04,6212.59,5788.89,4842.96,4405.19,4106.67,3958.52,3800.0,3601.48,3455.56,3497.78,3816.3,4336.3,5480.74,6399.26,6204.44,5524.44,4642.22,4029.63
89,A,2004,3,30,3781.48,3751.11,3817.04,4002.96,4447.41,5330.37,6589.63,6388.89,5774.81,5555.56,5429.63,5231.11,5112.59,4745.19,4686.67,4595.56,5271.11,5971.85,6874.07,7282.22,6955.56,6105.19,5101.48,4384.44
90,A,2004,3,31,4017.04,3917.78,3916.3,4031.11,4448.15,5168.15,6330.37,6097.04,5597.78,5300.0,5147.41,4974.81,4975.56,4828.89,4957.04,5128.89,5659.26,6200.74,6762.22,6939.26,6647.41,5917.04,4967.41,4214.07
91,A,2004,4,1,3877.78,3765.19,3754.07,3900.0,4356.3,5037.78,6133.33,5469.63,5058.52,5973.33,5155.56,4991.85,4960.74,4817.04,4893.33,5044.44,5734.07,6282.22,6748.15,7281.48,6989.63,6403.7,5471.85,4774.81
92,A,2004,4,2,4478.52,4378.52,4349.63,4518.52,4948.15,5675.56,6803.7,6492.59,5977.78,5697.78,5492.59,5334.07,5176.3,5076.3,5170.37,5281.48,5825.19,6317.78,6647.41,6757.04,6555.56,6091.11,5492.59,4812.59
93,A,2004,4,3,4421.48,4248.89,4195.56,4252.59,4358.52,4595.56,5165.93,6034.07,6440.0,6358.52,6161.48,5741.48,5611.85,5244.44,4865.93,4800.74,4806.67,4988.89,5636.3,6196.3,6013.33,5705.19,5088.15,4557.04
94,A,2004,4,4,4244.44,4122.96,4087.41,4051.85,4126.67,4319.26,4748.15,5448.15,6216.3,6600.0,6318.52,5968.89,5806.67,5593.33,5549.63,5490.37,5521.48,6020.0,6170.37,7097.04,7762.96,7403.7,6485.19,5625.93
95,A,2004,4,5,5241.48,5248.89,5340.0,5551.11,6030.37,6776.3,7542.22,7457.04,7517.78,6982.22,6277.78,5906.67,5574.07,5228.15,4932.59,4743.7,5017.78,5315.56,5780.0,6188.15,7199.26,7437.78,6117.04,5303.7
96,A,2004,4,6,4957.04,4888.15,4940.74,5155.56,5680.74,6480.74,7557.78,6906.67,6600.74,5695.56,5001.48,4563.7,4280.74,3930.37,3844.44,3789.63,3973.33,4273.33,4605.19,5217.04,5834.81,5659.26,4814.81,4020.0
97,A,2004,4,7,3550.37,3469.63,3469.63,3680.74,4064.44,4706.67,5646.67,5760.0,5165.93,4514.81,4090.37,3853.33,3597.04,3477.04,3462.96,3479.26,3682.96,4003.7,4226.67,4821.48,5526.67,5170.37,4273.33,3454.81
98,A,2004,4,8,2897.04,2710.37,2731.11,2865.19,3311.11,3914.07,4820.74,5236.3,5167.41,4861.48,4595.56,4481.48,4305.93,4001.48,3873.33,3760.0,3768.15,4031.11,4426.67,4936.3,5541.48,5220.0,4518.52,3684.44
99,A,2004,4,9,3274.81,3136.3,3202.22,3405.19,3830.37,4382.96,5220.74,5786.67,5508.89,5027.41,4602.22,4262.96,3940.0,3762.22,3670.37,3656.3,3832.59,3960.0,4211.85,4643.7,5174.07,4991.85,4482.22,3832.59
100,A,2004,4,10,3388.89,3185.93,3153.33,3245.93,3428.89,3822.96,4483.7,5454.07,5800.74,5890.37,5526.67,5000.0,4734.07,4421.48,4063.7,4019.26,4077.78,4271.11,4609.63,5031.85,5516.3,5328.15,4651.85,3915.56
101,A,2004,4,11,3386.67,3081.48,2990.37,3011.11,3179.26,3447.41,3869.63,4804.44,5961.48,6758.52,6708.15,6642.96,6537.78,6377.04,5979.26,6095.56,6043.7,6032.59,6231.11,6605.93,6858.52,6226.67,5480.74,4702.96
102,A,2004,4,12,4278.52,4128.89,4039.26,4240.74,4491.85,4991.11,5648.15,5900.0,6076.3,6271.11,6375.56,6265.93,6091.11,5941.48,5952.59,6078.52,6429.63,7053.33,7283.7,7375.56,7123.7,6379.26,5472.59,4644.44
103,A,2004,4,13,4171.85,4065.93,4007.41,4149.63,4508.15,5214.07,6301.48,6170.37,6015.56,5950.37,5944.44,5860.0,5675.56,5409.63,5417.04,5460.0,5946.67,6413.33,6282.22,6507.41,6825.19,6194.07,5192.59,4272.59
104,A,2004,4,14,3791.85,3650.37,3601.48,3757.04,4112.59,4885.19,5920.74,5938.52,5307.41,5113.33,5135.56,5175.56,5104.44,4994.81,4951.11,4986.67,5498.52,6079.26,6666.67,7003.7,7146.67,6594.07,5717.78,4883.7
